adresse;codePostal;codeINSEE;commune;dptCollectivite
Vallouise|Place de l'Église;05340;05101;Vallouise-Pelvoux;05 - Hautes-Alpes
Grande rue;05230;05040;Chorges;05 - Hautes-Alpes
Place des Droits-de-l'Homme;05600;05065;Guillestre;05 - Hautes-Alpes
86 route de Puy-Saint-Pierre;05100;05109;Puy-Saint-Pierre;05 - Hautes-Alpes
Place Barthelon|BP 97;05208;05046;Embrun Cedex;05 - Hautes-Alpes
63 place de la Mairie;05400;05123;La Roche-des-Arnauds;05 - Hautes-Alpes
Les Savoyons|34 route du Buëch;05400;05060;Furmeyer;05 - Hautes-Alpes
1 rue Aspirant-Jan|BP 18;05100;05023;Briançon;05 - Hautes-Alpes
Les Bégües;05700;05135;Sainte-Colombe;05 - Hautes-Alpes
12 rue de la Mairie;05190;05127;Rousset;05 - Hautes-Alpes
Le Village;05190;05022;Bréziers;05 - Hautes-Alpes
15 Grand'rue;05300;05118;Val Buëch-Méouge;05 - Hautes-Alpes
27 route du Pont-Levis;05330;05133;Saint-Chaffrey;05 - Hautes-Alpes
Le Forest;05140;05080;Montbrand;05 - Hautes-Alpes
1 rue de la Mairie;05100;05027;Cervières;05 - Hautes-Alpes
Le Village;05700;05089;Montrond;05 - Hautes-Alpes
Le Village;05140;05146;Saint-Julien-en-Beauchêne;05 - Hautes-Alpes
Les Borels;05260;05032;Champoléon;05 - Hautes-Alpes
Le Serre;05300;05159;Saléon;05 - Hautes-Alpes
Caserne Campana;05600;05082;Mont-Dauphin;05 - Hautes-Alpes
Rue de la Mairie|Le Village;05190;05121;Rochebrune;05 - Hautes-Alpes
Les Rougiers;05000;05037;Châteauvieux;05 - Hautes-Alpes
Route de Serre-Richard;05500;05148;Saint-Laurent-du-Cros;05 - Hautes-Alpes
Le Village|170 rue de la Mairie;05000;05100;Pelleautier;05 - Hautes-Alpes
Place Novalese;05220;05079;Le Monêtier-les-Bains;05 - Hautes-Alpes
1 place de l'Église;05160;05164;Savines-le-Lac;05 - Hautes-Alpes
Maison de la Vallée|Les Ribs;05310;05058;Freissinières;05 - Hautes-Alpes
15 rue de la Guisane|BP 7;05240;05161;La Salle-les-Alpes;05 - Hautes-Alpes
Le Village;05230;05084;Montgardin;05 - Hautes-Alpes
Sainte-Marie|Le Village;05150;05024;Valdoule;05 - Hautes-Alpes
Le Village;05120;05180;Les Vigneaux;05 - Hautes-Alpes
Saint-Antoine;05340;05101;Vallouise-Pelvoux;05 - Hautes-Alpes
Le Village;05700;05165;Savournon;05 - Hautes-Alpes
Place de l'Église|Ville-Haute;05100;05093;Névache;05 - Hautes-Alpes
Mairie;05700;05094;Nossage-et-Bénévent;05 - Hautes-Alpes
Le Village|Avenue Albert-Bonnardel;05400;05087;Montmaur;05 - Hautes-Alpes
Quartier de l'Église;05400;05075;Manteyer;05 - Hautes-Alpes
Place des Ballerins;05200;05045;Crots;05 - Hautes-Alpes
Le Village;05350;05077;Molines-en-Queyras;05 - Hautes-Alpes
Route de Nyons;05150;05091;Moydans;05 - Hautes-Alpes
